ts_utc,latitude,longitude,altitude,airspeed
2025-11-19 15:24:44.000 UTC,35.15802896507084,-103.87888727512212,3116.625,112.227522013917
2025-11-19 15:24:45.000 UTC,35.15810012184083,-103.87818425495178,3112.375,112.64573032944882
2025-11-19 15:24:46.000 UTC,35.158233183436096,-103.87748595803976,3109.125,113.2622335142306
2025-11-19 15:24:47.000 UTC,35.15838555425405,-103.87680344363676,3106.25,112.99297819665014
2025-11-19 15:24:48.000 UTC,35.158438589964064,-103.87609850736337,3103.25,113.77067414477682
2025-11-19 15:24:49.000 UTC,35.158567790463565,-103.8754010271281,3077.125,114.22556273664244
2025-11-19 15:24:50.000 UTC,35.15861257854849,-103.87473637394606,3075.0,114.146025827193
2025-11-19 15:24:51.000 UTC,35.158732450380924,-103.87400033360348,3074.0,113.43817048664624
2025-11-19 15:24:52.000 UTC,35.15889032520354,-103.87329153992236,3073.25,113.1691466923554
2025-11-19 15:24:53.000 UTC,35.15891071362421,-103.87261505618692,3073.0,113.37052822473684
2025-11-19 15:24:54.000 UTC,35.158961778301745,-103.8719934020564,3073.0,113.76266860695624
2025-11-19 15:24:55.000 UTC,35.15907225357368,-103.87120457611978,3118.625,113.49344962222388
2025-11-19 15:24:56.000 UTC,35.15913097081706,-103.87052444167432,3119.875,113.43450496497304
2025-11-19 15:24:57.000 UTC,35.15922367684543,-103.86981486679986,3120.625,113.1705001053606
2025-11-19 15:24:58.000 UTC,35.15929661309347,-103.8692174299434,3120.875,111.75878102292884
2025-11-19 15:24:59.000 UTC,35.159420549701906,-103.86849149907007,3119.125,111.39378905866856
2025-11-19 15:25:00.000 UTC,35.159434356540444,-103.8677392187342,3118.75,111.6507469014086
2025-11-19 15:25:01.000 UTC,35.159577681776135,-103.86703593185172,3163.5,111.70841778111172
2025-11-19 15:25:02.000 UTC,35.159592024162414,-103.8664004967548,3163.125,112.53454579360364
2025-11-19 15:25:03.000 UTC,35.15965029548854,-103.86565662743524,3163.375,112.00564794960664
2025-11-19 15:25:04.000 UTC,35.15976409452036,-103.86496185153725,3163.125,112.46464614559584
2025-11-19 15:25:05.000 UTC,35.159791943337765,-103.86428064705804,3187.125,112.05670799061292
2025-11-19 15:25:06.000 UTC,35.15992556903511,-103.86357799004762,3189.375,111.36980920171194
2025-11-19 15:25:07.000 UTC,35.159928237553686,-103.86288446433844,3192.25,111.44572145482252
2025-11-19 15:25:08.000 UTC,35.1600263399072,-103.86220795059576,3194.75,111.04995425471938
2025-11-19 15:25:09.000 UTC,35.1600968811661,-103.86150854324922,3173.0,111.14640277783413
2025-11-19 15:25:10.000 UTC,35.16014735111967,-103.8608148757182,3174.0,111.24862449043503
2025-11-19 15:25:11.000 UTC,35.16027638336644,-103.86016413263977,3175.5,111.14717257879296
2025-11-19 15:25:12.000 UTC,35.16029223371297,-103.8594380327873,3176.125,110.78633867758334
2025-11-19 15:25:13.000 UTC,35.160430854465815,-103.85875815549863,3130.25,110.58917614594284
2025-11-19 15:25:14.000 UTC,35.160445130355654,-103.85810153447092,3130.75,110.33861289796478
