code,name,country,latitude,longitude
37N,Garrison Dam Recreational Airpark,US,47.48500061,-101.4140015
38C,Cain Field,US,43.61249924,-85.49250031
38I,Weller Airport,US,40.09080124,-83.69409943
38N,Smyrna Airport,US,39.30350113,-75.58840179
38W,Lynden Airport,US,48.95600128,-122.4629974
38XS,San Rafael Ranch Airport,US,26.8220005,-98.48439789
39G,Avoca Airport,US,43.02999878,-82.6733017
39MD,Barton Hall Airfield,US,38.27483368,-76.72717285
39P,Strom Field,US,46.55039978,-122.2699966
39TE,Seminole Spraying Service Airport,US,32.72330093,-102.737999
3A9,Arlington Municipal Airport,US,44.39690018,-97.126297
3AK2,Niklason Lake Estates Airport,US,61.64099884,-149.2890015
3AZ5,Hualapai Airport,US,35.56999969,-113.3000031
3B3,Sterling Airport,US,42.42910004,-71.79660034
3C1,Mishawaka Pilots Club Airport,US,41.65829849,-86.03869629
3D1,Crivitz Municipal Airport,US,45.21770096,-88.07289886
3D2,Ephraim-Gibraltar Airport,US,45.13800049,-87.1894989
3DA,Dalton Airport,US,43.05310059,-83.80390167
3EV,Skylane Airport,US,38.01499939,-87.59470367
3EX,Excelsior Springs Memorial Airport,US,39.33530045,-94.19879913
3FA7,Flying 4 Ranch Airport,US,29.04469681,-81.05695343
3FK,Franklin Flying Field,US,39.42350006,-86.06109619
3G8,Gen-Airpark,US,41.43989944,-90.11470032
3GE3,Broad River Air Park,US,34.41059875,-83.18890381
3H5,Erie Air Park,US,41.68519974,-90.07859802
3J6,Davis Field,US,30.79980087,-82.02809906
3KK,Kankakee Airport,US,41.09659958,-87.91670227
3KS2,Munson Field,US,37.06328201,-96.99879456
3KS9,Tri Rotor Airport,US,37.73232651,-101.1955414
3LA4,Little Pecan Island Airport,US,29.80262947,-92.80886078
3MO,Sean D Sheldon Memorial Airfield,US,38.02190018,-93.69300079
3MO4,Penman Airport,US,36.45420074,-89.62830353
3N8,Mahnomen County Airport,US,47.26380157,-95.93080139
3ND6,DJR Ultralight Flightpark,US,47.24222183,-99.89941406
3NE5,MT Airfield,US,40.94914246,-96.20661163
3NP,Napoleon Airport,US,42.17139816,-84.26319885
3O5,Walters Municipal Airport,US,34.37310028,-98.40670013
3O8,Harris Ranch Airport,US,36.25159836,-120.2399979
3OK5,Bearden Private Airport,US,34.73189926,-97.60540009
3OL8,Harrison Airport,US,36.87250137,-95.1536026
3R8,Scottsburg Airport,US,38.65420151,-85.79250336
3RU,Rust Airstrip,US,33.33280182,-84.39630127
3S2,Swans Field,US,44.51539993,-70.40979767
3SC4,Crooked Fence Farm Airport,US,34.7696991,-81.99250031
3T0,Cedar Mills Airport,US,33.83909988,-96.81500244
3TA,Stafford Municipal Airport,US,37.96229935,-98.646698
3TA0,Four Square Ranch Airport,US,30.1019001,-100.4029999
3TA5,Blanco Landing Airport,US,30.12890053,-98.38459778
3TA6,Spring Ranch Airport,US,29.54700089,-100.2559967
3TE,Al Meyers Airport,US,42.02890015,-83.93910217
3TS1,White Wings Airport,US,30.00749969,-98.04219818
3U0,Murphy Hot Springs Airport,US,42.01739883,-115.3410034
3U2,Johnson Creek Airport,US,44.91600037,-115.4840012
3VS,Roy Otten Memorial Airfield,US,38.42710114,-92.87989807
3W2,Put In Bay Airport,US,41.6334,-82.8312
3W3,Kentmorr Airpark,US,38.91809845,-76.36309814
3W5,Mears Field Airport,US,48.5298996,-121.7639999
3W9,Middle Bass-East Point Airport,US,41.69419861,-82.80039978
3Y7,Isabel Municipal Airport,US,45.3927002,-101.4410019
40C,Watervliet Municipal Airport,US,42.19710159,-86.25109863
40D,Three Lakes Municipal Airport,US,45.78580093,-89.1242981
41C,Calkins Field,US,42.6896019,-85.64779663
41G,University Airpark,US,42.84000015,-84.48320007
42C,White Cloud Airport,US,43.56230164,-85.77719879
42IA,Lakeport Farms Airport,US,42.26449966,-96.28970337
42KY,Pirates Cove Airport,US,36.7806015,-88.22239685
42TT,Duke International Airport,US,30.45802116,-95.2336731
42XA,Skid Row Airpark,US,31.36459923,-97.09169769
43MI,W Gladstone Airport,US,45.84640121,-87.1167984
43MN,Superior Aero Estates Airport,US,46.93799973,-92.41660309
43NC,Bahnson Airport,US,36.01670074,-80.51689911
43Y,Northome Municipal Airport,US,47.89009857,-94.26270294
44A,Rolle Airfield,US,32.52009964,-114.697998
44B,Charles A. Chase Jr. Memorial Field,US,45.17710114,-69.25029755
44G,Betz Airport,US,41.85509872,-83.87550354
44SC,4 Holes Field,US,33.47750092,-80.77861023
44XA,HFS Airport,US,27.83250046,-97.77278137
45CN,Hermitage Airport,US,37.86339951,-120.1839981
46CN,Crystal Airport,US,34.48400116,-117.8339996
46N,Sky Park Airport,US,41.98099899,-73.83609772
47G,Mayes Airport,US,43.24169922,-84.88439941
47KS,Maxwell Airport,US,38.77349854,-95.27500153
47TX,Armstrong Ranch Airport,US,26.93630028,-97.76799774
47Y,Pelican Rapids Muni-Lyon's Field,US,46.64580154,-96.10639954
48FA,Silver Lake Seaplane Base,US,28.841969,-81.807511
48G,Gavagan Field,US,43.10559845,-82.89250183
48X,Airport Manatee Airport,US,27.64139938,-82.52529907
48XS,Maravillas Gap Ranch Airport,US,29.93169975,-103.3000031
48Y,Piney Pinecreek Border Airport,US,49.00360107,-95.98570251
49C,Camp Lake Airport,US,42.53089905,-88.15619659
49G,Wend Valley Airport,US,42.58060074,-84.90830231
49IL,Walnut Creek Airport,US,41.59329987,-88.6957016
49MT,Firebuster Airport,US,45.6091156,-109.131958
4AK6,Wolf Lake Airport,US,61.639375,-149.294875
4AL8,Milton Airport,US,34.49259949,-86.67620087
4AR1,Shurley Field Airport,US,35.04119873,-92.1053009
4AR2,Red Oak Airport,US,34.90850067,-92.0121994
4B0,South Albany Airport,US,42.55680084,-73.83339691
4B9,Simsbury Airport,US,41.91329956,-72.77799988
4C1,Flying U Ranch Airport,US,41.45610046,-86.79109955
4C2,Walker/Rowe Waterloo Airport,US,41.43119812,-84.98539734
4C7,Ackley Municipal Airport,US,42.55059814,-93.03620148
4D8,Fuller Airport,US,43.33480072,-95.16339874
4FA7,Lake Panasoffkee Seaplane Base,US,28.8073101,-82.12364197
4G1,Greenville Municipal Airport,US,41.4496994,-80.39450073
4G3,Miller Airport,US,40.98180008,-81.04740143
4G7,Fairmont Municipal Airport Frankman Field,US,39.44499969,-80.17009735
4KA,Tununak Airport,US,60.57600021,-165.2769928
4LA3,Feliciana Airpark,US,30.81220055,-91.21829987
4M5,Dermott Municipal Airport,US,33.48410034,-91.44419861
4M8,Clarendon Municipal Airport,US,34.65129852,-91.39409637
4MI1,Air Rahe Airport,US,44.73830032,-83.38369751
4MN5,Kapaun-Wilson Field,US,45.55390167,-96.45140076
4N4,Lidgerwood Municipal Airport,US,46.09249878,-97.16680145
4R6,Milnor Municipal Airport,US,46.26050186,-97.44560242
4S5,St Thomas Municipal Airport,US,48.63729858,-97.39730072
4S6,Tieton State Airport,US,46.63499832,-121.1269989
4TA0,Massimiliano Memorial Field,US,29.36000061,-95.66470337
4TA6,Comanche Caves Ranch Airport,US,30.025999,-99.386002
4TE9,Squirrel Creek Ranch Airport,US,29.26309967,-99.35739899
4TS8,Glasscock Field,US,29.37779999,-99.34529877
4U8,Morrison Flight Park Ultralightport,US,39.02339935,-87.18710327
4V8,Deerfield Valley Regional Airport,US,42.92359924,-72.8647995
4W0,Bandera State Airport,US,47.39599991,-121.5410004
4WA0,B & G Farms Airport,US,46.94029999,-119.7450027
4WI4,Turner Airport,US,45.57730103,-89.74949646
4WN5,David Randall Airport,US,45.46049881,-92.37789917
4Y1,Raether Airport,US,42.56809998,-83.85739899
4Y8,Para Field,US,43.20050049,-82.75789642
4Y9,Eagles Landing Airport,US,44.30770111,-85.78780365
50G,Howard Nixon Memorial Airport,US,43.18180084,-84.1384964
50S,Parma Airport,US,43.78030014,-116.9400024
50TX,Kennedy Ranch Airport,US,30.14109993,-98.52929688
50XS,Hughes Ranch Airport,US,29.04789925,-100.5889969
51G,Alkay Airport,US,43.14179993,-83.79840088
52AR,Ira's Airstrip,US,35.28310013,-92.24140167
52B,Greenville Seaplane Base,US,45.48020172,-69.61650085
52I,Gross Airport,US,43.84690094,-84.01629639
52K,Charles E Grutzmacher Municipal Airport,US,39.50099945,-96.17469788
52Y,Remer Municipal Airport,US,47.07049942,-93.91690063
53K,Osage City Municipal Airport,US,38.63690186,-95.80180359
53W,Woodruff Lake Airport,US,43.55450058,-84.98549652
54AL,Belforest Field,US,30.60026932,-87.82317352
54M,Wolf River Airport,US,35.05830002,-89.57980347
54MU,Brown Field,US,40.303842,-95.112711
54XA,Flaherty Airport,US,33.49489975,-97.21109772
55G,Arnold Field,US,43.30130005,-82.60810089
55S,Packwood Airport,US,46.60129929,-121.6800003
55XS,Frontier Airport,US,29.16069984,-100.4199982
56FD,North American Farms Airport,US,30.97069931,-85.06939697
56G,Indian Creek Ranch Airport,US,43.57839966,-82.65390015
56LA,Old Hickory Ranch Airport,US,32.34999847,-93.81780243
56ME,Russell Field,US,46.62948,-67.846139
56S,Seaside Municipal Airport,US,46.01800156,-123.9079971
56WI,Jaks Field,US,44.77339935,-89.59850311
57AZ,La Cholla Airpark,US,32.44219971,-111.0080032
57B,Islesboro Airport,US,44.29919815,-68.9095993
57D,Ray Community Airport,US,42.73789978,-82.89620209
57GA,Blue Ridge Skyport Airport,US,34.86740112,-84.39379883
57KS,Get Away Runway,US,39.31792068,-95.99613953
57MT,Flying K Field,US,46.20405197,-114.0855484
58C,Jana Airport,US,42.87580109,-89.07569885
58CL,Borrego Air Ranch Airport,US,33.19189835,-116.2809982
58MT,Galt Ranch Airport,US,46.54472351,-111.0752792
59AR,Hodges Airport,US,35.88192749,-90.60879517
59B,Newton Field,US,45.63410187,-70.25409698
59FD,Big Cypress Airfield,US,26.32169914,-80.99610138
5A2,Warner Robins Air Park,US,32.56060028,-83.6812973
5AL5,Big River Airpark,US,34.69520187,-87.65280151
5AR1,Tillar Airport,US,33.71640015,-91.46330261
5AZ3,Pegasus Airpark,US,33.21279907,-111.625
5B4,Bowbells Municipal Airport,US,48.80950165,-102.2539978
5B6,Falmouth Airpark,US,41.58359909,-70.54360199
5B9,Dean Memorial Airport,US,44.0768013,-72.00710297
5CA7,Agro-West Airport,US,36.34000015,-120.2470016
5CL8,Creekside Airport,US,35.18040085,-118.9280014
5D5,Woolsey Memorial Airport,US,45.16479874,-85.58850098
5D6,Parsons Airport,US,40.64860153,-81.07379913
5D9,Bandit Field Airdrome Airport,US,41.2276001,-82.95760345
5F5,Bluebird Hill Airport,US,32.34870148,-93.79989624
5F8,Thackers Airport,US,32.79100037,-93.9611969
5FL7,Twelve Oaks Airport,US,28.97570038,-82.36699677
5G0,Le Roy Airport,US,42.98149872,-77.94239807
5G3,East Dakota Flying Club Seaplane Base,US,44.53379822,-99.74890137
5H3,Clear Lake Municipal Airport,US,44.77489853,-96.65010071
